Participant,Sex,Age,AgeGroup,AcquisitionAge,Univ.ProfNativeEngSpeakerYesNo,TrainingGroup,Word,PrePosttraining,OnsetMedialCoda,TrainedNewWord,VoicedUnvoiced,Phoneme,POA,Position,tierNumber,tiermeaning,HKUNativeSoundingYesNo,RUNativeSoundingYesNo,ComprehensionPerformanceT1T2,Column1,onset,offset,midpoint,midbottom,midtop,soundname,intervalname,F0_Max,F0_Average,midF0_max,midF0_avg,First_Formant,First_Formant_mid,Second_Formant,Second_Formant_mid,Third_Formant,Third_Formant_mid,Intensity_Max,Intensity_Max_mid,Intensity_Average,Intensity_Average_mid,Mid_Duration,Duration,Dur
1404,,,University Students,,,Yes,cup,pre,coda,trained,unvoiced,p,bilabial,coda,3, ,,,, ,0.661,0.6945,0.6778,0.6666,0.6889,1404-cup-1,null vbar,--undefined--,--undefined--,--undefined--,--undefined--,963.0435,966.6628199,2117.101515,1878.404229,3428.38199,3226.865954,27.72261647,25.69504181,25.1906,25.1197,0.0223,0,0
,,, ,,, , , , , , , , , ,, ,,,, ,,,,,, , , , , , ,, , , , , , , ,,,,,0
1404,,,University Students,,,Yes,cup,post,coda,trained,unvoiced,p,bilabial,vowel,1, ,,,, ,0.4289,0.5868,0.5079,0.4552,0.5605,1404-cup-2,vowel,259.075297,245.3444741,256.9577484,239.2500447,796.1875,757.4364029,1251.300206,1236.460144,2505.498692,2499.742912,71.06169561,71.06169561,62.1346,65.7864,0.1053,0.15792849,158
1404,,,University Students,,,Yes,cup,post,coda,trained,unvoiced,p,bilabial,onset,2, ,,,, ,0.3877,0.4289,0.4083,0.3945,0.422,1404-cup-2,asp,--undefined--,--undefined--,--undefined--,--undefined--,908.8141,920.803391,1439.649899,1471.360429,2575.636459,2584.748094,59.11466179,57.31913907,56.2405,55.902,0.0275,0.04124247,41
1404,,,University Students,,,Yes,cup,post,coda,trained,unvoiced,p,bilabial,coda,2, ,,,, ,0.7015,0.7679,0.7347,0.7126,0.7568,1404-cup-2,null asp,--undefined--,--undefined--,--undefined--,--undefined--,601.5423,656.5226398,1275.834695,1430.325766,2590.650769,2810.392755,48.75282012,46.38054317,41.9968,41.5278,0.0443,0,0
1404,,,University Students,,,Yes,cup,post,coda,trained,unvoiced,p,bilabial,onset,3, ,,,, ,0.3877,0.4289,0.4083,0.3945,0.422,1404-cup-2,null vbar,--undefined--,--undefined--,--undefined--,--undefined--,908.8141,920.803391,1439.649899,1471.360429,2575.636459,2584.748094,59.11466179,57.31913907,56.2405,55.902,0.0275,,0
1404,,,University Students,,,Yes,cup,post,coda,trained,unvoiced,p,bilabial,coda,3, ,,,, ,0.7015,0.7679,0.7347,0.7126,0.7568,1404-cup-2,null vbar,--undefined--,--undefined--,--undefined--,--undefined--,601.5423,656.5226398,1275.834695,1430.325766,2590.650769,2810.392755,48.75282012,46.38054317,41.9968,41.5278,0.0443,0,0
,,, ,,, , , , , , , , , ,, ,,,, ,,,,,, , , , , , ,, , , , , , , ,,,,,0
1404,,,University Students,,,Yes,dock,pre,coda,new word,unvoiced,k,velar,vowel,1, ,,,, ,0.4742,0.6524,0.5633,0.5039,0.6227,1404-dock-1,vowel,123.1399197,121.1086677,121.1355322,120.0326558,747.9633,731.6687271,1221.87173,1244.706009,2579.277173,2635.86824,53.07339232,51.84904646,44.1646,45.6591,0.1188,0.17815389,178
1404,,,University Students,,,Yes,dock,pre,coda,new word,unvoiced,k,velar,onset,2, ,,,, ,0.4508,0.4742,0.4625,0.4547,0.4703,1404-dock-1,null asp,--undefined--,--undefined--,--undefined--,--undefined--,565.6587,573.8757542,1555.483301,1609.491153,2684.675861,2680.842133,50.26493351,50.26493351,47.6356,47.9485,0.0156,0,0
1404,,,University Students,,,Yes,dock,pre,coda,new word,unvoiced,k,velar,coda,2, ,,,, ,0.7319,0.7756,0.7537,0.7392,0.7683,1404-dock-1,null asp,505.543137,505.1007988,505.089185,504.8957209,810.6545,805.2896163,1535.902315,1517.416549,3129.56873,3075.141783,38.61482267,34.51645548,29.2176,29.0294,0.0291,0,0
1404,,,University Students,,,Yes,dock,pre,coda,new word,unvoiced,k,velar,onset,3, ,,,, ,0.4508,0.4742,0.4625,0.4547,0.4703,1404-dock-1,null vbar,--undefined--,--undefined--,--undefined--,--undefined--,565.6587,573.8757542,1555.483301,1609.491153,2684.675861,2680.842133,50.26493351,50.26493351,47.6356,47.9485,0.0156,0,0
1404,,,University Students,,,Yes,dock,pre,coda,new word,unvoiced,k,velar,coda,3, ,,,, ,0.7319,0.7756,0.7537,0.7392,0.7683,1404-dock-1,null vbar,505.543137,505.1007988,505.089185,504.8957209,810.6545,805.2896163,1535.902315,1517.416549,3129.56873,3075.141783,38.61482267,34.51645548,29.2176,29.0294,0.0291,0,0
,,, ,,, , , , , , , , , ,, ,,,, ,,,,,, , , , , , ,, , , , , , , ,,,,,0
1404,,,University Students,,,Yes,dock,post,coda,new word,unvoiced,k,velar,vowel,1, ,,,, ,0.4375,0.6231,0.5303,0.4685,0.5922,1404-dock-2,vowel,237.5467533,194.2255276,227.7894097,174.0689858,776.2022,756.7212957,1044.613964,1154.504574,2562.86584,2552.798866,68.14736197,67.85892271,56.7,58.0566,0.1237,0.1856215,186
1404,,,University Students,,,Yes,dock,post,coda,new word,unvoiced,k,velar,onset,2, ,,,, ,0.4076,0.4376,0.4226,0.4126,0.4326,1404-dock-2,null asp,236.7981299,236.1077926,236.4037087,235.9640345,698.0799,707.4527637,1465.925631,1508.248188,2742.800652,2717.618165,64.5709308,64.5709308,61.5754,62.0676,0.02,0,0
1404,,,University Students,,,Yes,dock,post,coda,new word,unvoiced,k,velar,coda,2, ,,,, ,0.7149,0.7593,0.7371,0.7223,0.7519,1404-dock-2,asp,--undefined--,--undefined--,--undefined--,--undefined--,1193.7615,1233.124749,1453.166004,1661.466183,3391.494834,3242.10033,49.25313665,47.20270803,41.8125,41.9024,0.0296,0.04441399,44
1404,,,University Students,,,Yes,dock,post,coda,new word,unvoiced,k,velar,onset,3, ,,,, ,0.4076,0.4255,0.4165,0.4106,0.4225,1404-dock-2,null vbar,235.9924294,235.812787,235.8498125,235.7668635,654.7031,664.3585618,1591.966562,1597.25691,2746.199173,2739.247039,63.12233282,60.24424476,59.6908,59.8938,0.0119,0,0
